1739026803,476
1739026806,213
1739026809,211
1739026812,208
1739026815,215
1739026818,207
1739026821,217
1739026824,214
1739026827,208
1739026831,212
1739026833,210
1739026837,212
1739026840,212
1739026840,None
1739026845,204
1739026849,204
1739026852,206
1739026855,201
1739026858,237
1739026861,254
1739026864,235
1739026867,222
1739026870,211
1739026874,221
1739026876,219
1739026879,213
1739026882,219
1739026885,217
1739026889,217
1739026891,218
1739026894,221
1739026897,219
1739026901,212
1739026904,211
1739026907,197
1739026910,193
1739026913,201
1739026913,None
1739026919,196
1739026922,202
1739026925,195
1739026928,192
1739026931,208
1739026934,199
1739026937,194
1739026940,206
1739026943,201
1739026946,199
1739026949,203
1739026952,197
1739026956,201
1739026959,195
1739026961,261
1739026964,448
1739026968,452
1739026971,461
1739026974,270
1739026977,198
1739026980,216
1739026983,208
1739026986,203
1739026989,198
1739026992,212
1739026995,209
1739026998,200
1739027001,204
1739027004,195
1739027007,208
1739027010,200
1739027013,196
1739027017,206
1739027019,201
1739027023,201
1739027025,204
1739027029,204
1739027032,194
1739027035,199
1739027038,202
1739027040,197
1739027044,205
1739027047,197
1739027050,195
1739027053,204
1739027056,192
1739027059,193
1739027062,200
1739027066,207
1739027068,203
1739027071,199
1739027074,195
1739027077,189
1739027077,None
1739027083,197
1739027086,189
1739027090,222
1739027092,216
1739027095,210
1739027098,199
1739027102,216
1739027105,216
1739027108,195
1739027111,199
1739027114,194
1739027117,202
1739027120,216
1739027123,229
1739027126,227
1739027129,220
1739027132,203
1739027135,208
1739027138,205
1739027141,208
1739027144,211
1739027144,None
1739027151,497
1739027153,482
1739027156,476
1739027159,279
1739027162,252
1739027166,215
1739027169,229
1739027171,211
1739027174,213
1739027177,216
1739027181,208
1739027184,214
1739027187,215
1739027187,None
1739027193,212
1739027196,205
1739027199,213
1739027202,208
1739027205,199
1739027205,None
1739027211,208
1739027214,199
1739027217,194
1739027220,201
1739027223,200
1739027226,197
1739027226,None
1739027232,197
1739027236,198
1739027236,None
1739027241,220
1739027241,None
1739027241,None
1739027251,205
1739027254,195
1739027257,227
1739027260,211
1739027263,204
1739027266,209
1739027270,208
1739027272,203
1739027275,209
1739027279,204
1739027281,206
1739027284,214
1739027284,None
1739027291,464
1739027291,None
1739027291,None
1739027291,None
1739027303,275
1739027306,216
1739027309,212
1739027312,231
1739027315,216
1739027318,239
1739027318,None
1739027324,236
1739027327,222
1739027330,216
1739027333,214
1739027336,210
1739027340,213
1739027343,208
1739027346,214
1739027349,211
1739027352,208
1739027355,207
1739027358,205
1739027361,217
1739027364,215
1739027367,205
1739027370,213
1739027373,205
1739027376,201
1739027379,208
1739027383,217
1739027386,219
1739027388,221
1739027392,204
1739027395,196
1739027398,211
1739027400,207
1739027404,201
1739027407,208
1739027410,209
1739027413,206
1739027416,212
1739027419,205
1739027422,205
1739027425,207
1739027428,207
1739027431,208
1739027434,216
1739027437,213
1739027440,221
1739027444,221
1739027447,207
1739027449,215
1739027452,216
1739027456,220
1739027459,215
1739027462,221
1739027465,220
1739027468,219
1739027471,218
1739027474,216
1739027477,222
1739027480,217
1739027483,221
1739027486,216
1739027489,232
1739027492,227
1739027495,226
1739027499,218
1739027502,223
1739027505,216
1739027505,None
1739027510,222
1739027514,221
1739027517,222
1739027520,223
1739027520,None
1739027526,228
1739027529,214
1739027532,225
1739027535,217
1739027538,223
1739027541,219
1739027544,480
1739027544,None
1739027550,479
1739027554,478
1739027557,257
1739027559,219
1739027562,220
1739027566,217
1739027569,223
1739027571,221
1739027575,216
1739027578,225
1739027581,222
1739027584,225
1739027587,225
1739027587,None
1739027593,225
1739027596,218
1739027599,224
1739027603,218
1739027605,217
1739027608,221
1739027611,223
1739027614,224
1739027617,220
1739027621,217
1739027624,222
1739027626,215
1739027630,221
1739027633,212
1739027636,222
1739027639,219
1739027642,222
1739027645,218
1739027648,218
1739027651,224
1739027654,219
1739027657,222
1739027660,220
1739027663,225
1739027666,224
1739027669,214
1739027672,223
1739027675,214
1739027675,None
1739027682,216
1739027685,222
1739027688,212
1739027691,222
1739027694,220
1739027697,223
1739027700,347
1739027703,464
1739027706,473
1739027709,436
1739027712,219
1739027715,215
1739027718,216
1739027722,221
1739027722,None
1739027728,210
1739027730,202
1739027733,208
1739027736,215
1739027739,212
1739027743,201
1739027745,217
1739027749,209
1739027752,203
1739027755,214
1739027758,218
1739027761,212
1739027764,211
1739027767,214
1739027770,217
1739027770,None
1739027776,214
1739027780,217
1739027782,214
1739027785,212
1739027788,215
1739027791,208
1739027794,204
1739027798,213
1739027800,208
1739027803,208
1739027803,None
1739027810,208
1739027812,215
1739027816,221
1739027819,214
1739027822,214
1739027825,228
1739027828,220
1739027831,217
1739027835,220
1739027838,215
1739027840,217
1739027843,217
1739027846,219
1739027849,222
1739027852,209
1739027855,221
1739027858,218
1739027861,216
1739027865,223
1739027865,None
1739027871,217
1739027874,218
1739027877,216
1739027880,212
1739027883,218
1739027886,209
1739027889,207
1739027892,213
1739027895,205
1739027898,211
1739027901,216
1739027905,205
1739027907,211
1739027910,210
1739027914,209
1739027916,210
1739027920,206
1739027923,218
1739027926,203
1739027926,None
1739027932,218
1739027935,210
1739027938,204
1739027941,214
1739027944,218
1739027947,227
1739027951,248
1739027954,254
1739027956,225
1739027960,196
1739027962,206
1739027966,197
1739027969,193
1739027969,None
1739027969,None
1739027978,194
1739027981,455
1739027984,457
1739027987,453
1739027990,458
1739027993,357
1739027996,199
1739028000,199
1739028002,200
1739028005,198
1739028009,211
1739028011,203
1739028014,196
1739028017,208
1739028020,200
1739028023,201
1739028026,204
1739028030,198
1739028033,451
1739028036,458
1739028039,456
1739028042,418
1739028045,202
1739028048,202
1739028051,197
1739028054,196
1739028057,205
1739028060,197
1739028060,None
1739028066,202
1739028069,200
1739028072,197
1739028072,None
1739028078,201
1739028081,198
1739028084,202
1739028088,187
1739028090,201
1739028093,202
1739028096,188
1739028099,233
1739028102,235
1739028106,240
1739028109,236
1739028111,239
1739028115,239
1739028117,232
1739028121,242
1739028124,236
1739028127,234
1739028130,239
1739028133,238
1739028133,None
1739028139,226
1739028142,222
1739028145,228
1739028148,223
1739028151,212
1739028154,213
1739028157,209
1739028157,None
1739028164,209
1739028164,None
1739028169,193
1739028172,195
1739028176,189
1739028178,186
1739028182,187
1739028185,188
1739028188,182
1739028191,187
1739028191,None
1739028197,184
1739028200,187
1739028203,180
1739028206,185
1739028209,188
1739028212,181
1739028215,187
1739028219,182
1739028222,183
1739028224,187
1739028227,182
1739028231,182
1739028233,184
1739028233,None
1739028240,183
1739028242,183
1739028245,185
1739028248,183
1739028251,187
1739028251,None
1739028258,190
1739028261,188
1739028264,191
1739028267,183
1739028270,195
1739028273,195
1739028276,188
1739028279,193
1739028282,198
1739028285,191
1739028288,198
1739028291,196
1739028294,203
1739028298,198
1739028300,198
1739028303,191
1739028303,None
1739028309,209
1739028312,195
1739028316,193
1739028319,198
1739028322,200
1739028325,194
1739028328,198
1739028331,202
1739028334,200
1739028337,196
1739028340,194
1739028343,203
1739028346,194
1739028349,199
1739028352,196
1739028352,None
1739028359,198
1739028361,195
1739028364,198
1739028367,193
1739028371,396
1739028373,433
1739028377,398
1739028380,268
1739028383,136
1739028386,130
1739028389,136
1739028392,133
1739028395,139
1739028398,135
1739028398,None
1739028404,139
1739028407,131
1739028411,141
1739028413,131
1739028417,138
1739028419,134
1739028423,142
1739028425,133
1739028429,136
1739028432,137
1739028435,139
1739028435,None
1739028435,None
1739028444,139
1739028447,132
1739028450,131
1739028453,143
1739028456,339
1739028459,391
1739028459,None
1739028465,398
1739028468,175
1739028472,139
1739028472,None
1739028477,137
1739028481,143
1739028483,137
1739028487,135
1739028490,130
1739028493,133
1739028495,138
1739028498,135
1739028502,140
1739028505,135
1739028508,137
1739028511,130
1739028514,125
1739028517,135
1739028520,140
1739028523,134
1739028526,131
1739028526,None
1739028532,137
1739028535,135
1739028538,131
1739028541,135
1739028544,137
1739028547,134
1739028550,139
1739028553,132
1739028553,None
1739028560,134
1739028562,135
1739028565,135
1739028569,131
1739028572,138
1739028575,132
1739028578,133
1739028581,135
1739028584,133
1739028587,139
1739028590,132
1739028594,137
1739028596,135
1739028599,129
1739028602,142
1739028605,133
1739028608,138
1739028611,138
1739028615,132
1739028617,138
1739028621,137
1739028623,132
1739028626,134
1739028630,134
1739028633,139
1739028636,131
1739028639,126
1739028642,129
1739028645,144
1739028648,141
1739028651,137
1739028654,133
1739028657,134
1739028660,130
1739028663,133
1739028666,142
1739028666,None
1739028672,130
1739028675,129
1739028675,None
1739028681,145
1739028685,133
1739028688,136
1739028690,133
1739028694,125
1739028697,135
1739028700,140
1739028700,None
1739028706,130
1739028709,137
1739028712,126
1739028715,135
1739028718,214
1739028724,381
1739028727,389
1739028730,179
1739028734,135
1739028736,131
1739028739,143
1739028742,140
1739028745,139
1739028748,141
1739028752,147
1739028754,141
1739028754,None
1739028761,138
1739028764,143
1739028767,145
1739028770,138
1739028770,None
1739028776,144
1739028779,140
1739028782,133
1739028782,None
1739028788,140
1739028791,140
1739028794,139
1739028797,145
1739028800,139
1739028803,142
1739028806,139
1739028810,145
1739028812,140
1739028816,143
1739028818,143
1739028821,137
1739028825,136
1739028827,144
1739028830,137
1739028834,138
1739028836,143
1739028840,136
1739028843,131
1739028846,136
1739028849,133
1739028852,126
1739028855,127
1739028858,123
1739028861,120
1739028864,126
1739028867,124
1739028870,127
1739028874,117
1739028876,129
1739028880,123
1739028882,206
1739028886,389
1739028889,382
1739028892,387
1739028895,138
1739028898,126
1739028901,119
1739028904,132
1739028907,122
1739028910,128
1739028913,124
1739028916,124
1739028919,122
1739028922,125
1739028926,125
1739028928,127
1739028928,None
1739028934,126
1739028937,123
1739028940,131
1739028944,120
1739028947,129
1739028949,125
1739028953,126
1739028956,124
1739028956,None
1739028962,122
1739028965,126
1739028968,122
1739028971,124
1739028974,123
1739028974,None
1739028974,None
1739028983,114
1739028986,129
1739028989,121
1739028992,128
1739028995,123
1739028998,118
1739029001,129
1739029004,122
1739029008,126
1739029011,125
1739029014,125
1739029017,122
1739029017,None
1739029023,129
1739029026,175
1739029029,378
1739029032,393
1739029035,388
1739029038,245
1739029041,128
1739029044,133
1739029047,132
1739029050,135
1739029053,126
1739029056,130
1739029056,None
1739029062,131
1739029066,126
1739029068,121
1739029071,131
1739029074,129
1739029077,132
1739029081,132
1739029084,123
1739029087,127
1739029090,135
1739029093,124
1739029096,124
1739029099,118
1739029102,111
1739029105,127
1739029108,129
1739029111,130
1739029114,124
1739029117,122
1739029120,124
1739029123,132
1739029126,118
1739029129,117
1739029132,125
1739029135,130
1739029139,123
1739029142,116
1739029145,122
1739029148,128
1739029151,128
1739029151,None
1739029157,127
1739029160,118
1739029163,122
1739029166,128
1739029169,124
1739029172,120
1739029175,136
1739029178,153
1739029181,199
1739029184,231
1739029187,234
1739029190,229
1739029193,222
1739029196,219
1739029200,215
1739029200,None
1739029205,215
1739029205,None
1739029211,219
1739029214,206
1739029217,210
1739029221,205
1739029224,203
1739029227,203
1739029229,201
1739029233,195
1739029236,194
1739029239,201
1739029242,190
1739029246,188
1739029248,191
1739029251,189
1739029254,197
1739029254,None
1739029261,190
1739029263,193
1739029266,191
1739029270,193
1739029272,189
1739029276,200
1739029278,193
1739029282,200
1739029285,195
1739029288,201
1739029292,196
1739029292,None
1739029297,196
1739029300,416
1739029303,465
1739029306,459
1739029309,459
1739029312,192
1739029315,204
1739029319,196
1739029322,204
1739029325,197
1739029328,199
1739029331,200
1739029334,198
1739029334,None
1739029340,196
1739029343,195
1739029346,190
1739029349,185
1739029349,None
1739029355,192
1739029358,191
1739029361,187
1739029364,194
1739029367,196
1739029370,187
1739029373,190
1739029377,185
1739029379,189
1739029382,192
1739029385,372
1739029388,443
1739029391,454
1739029395,447
1739029395,None
1739029400,193
1739029404,191
1739029407,191
1739029410,193
1739029413,186
1739029413,None
1739029419,185
1739029422,200
1739029425,188
1739029428,197
1739029431,188
1739029434,194
1739029437,190
1739029441,194
1739029443,189
1739029447,197
1739029449,194
1739029453,194
1739029455,186
1739029459,195
1739029462,187
1739029464,194
1739029468,189
1739029471,195
1739029474,189
1739029477,190
1739029480,192
1739029483,185
1739029486,198
1739029489,186
1739029492,195
1739029492,None
1739029498,183
1739029501,193
1739029504,190
1739029507,189
1739029510,197
1739029513,195
1739029516,188
1739029520,190
1739029523,183
1739029525,190
1739029528,192
1739029532,191
1739029535,186
1739029538,183
1739029541,194
1739029544,186
1739029547,189
1739029550,192
1739029553,188
1739029556,190
1739029559,187
1739029562,195
1739029566,186
1739029568,183
1739029571,196
1739029574,188
1739029577,192
1739029580,192
1739029583,187
1739029586,195
1739029590,190
1739029593,189
1739029596,195
1739029599,192
1739029601,195
1739029605,191
1739029608,187
1739029611,198
1739029614,185
1739029617,199
1739029620,190
1739029624,193
1739029626,190
1739029630,191
1739029630,None
1739029635,189
1739029638,194
1739029642,191
1739029645,194
1739029647,188
1739029651,191
1739029654,190
1739029657,193
1739029660,187
1739029663,192
1739029666,190
1739029669,189
1739029672,190
1739029675,186
1739029678,191
1739029681,189
1739029684,193
1739029688,188
1739029690,189
1739029693,349
1739029696,450
1739029699,457
1739029702,452
1739029706,199
1739029709,191
1739029712,192
1739029715,189
1739029715,None
1739029721,190
1739029724,191
1739029727,192
1739029730,187
1739029733,197
1739029736,189
1739029739,189
1739029739,None
1739029745,187
1739029748,188
1739029748,None
1739029748,None
1739029757,377
1739029760,449
1739029763,445
1739029766,453
1739029769,364
1739029769,None
1739029775,191
1739029778,191
1739029782,192
1739029782,None
1739029788,195
1739029791,186
1739029794,194
1739029797,185
1739029800,196
1739029803,191
1739029806,193
1739029809,185
1739029812,193
1739029812,None
1739029819,191
1739029821,193
1739029824,185
1739029828,194
1739029830,185
1739029833,198
1739029836,185
1739029840,196
1739029840,None
1739029846,192
1739029849,196
1739029852,193
1739029855,193
1739029858,191
1739029861,194
